Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
25-01-2018,158.4662421,158.6638768,156.9031484,157.8014832,2815800,0,0,0.821534397
26-01-2018,157.8104821,160.2629324,157.2175778,160.227005,3957700,0,0,-0.743291143
29-01-2018,160.173092,160.5324205,159.2208594,159.6969757,6091900,0,0,-5.650857733
30-01-2018,159.0951101,159.6071538,153.4805172,154.9447937,9613000,0,0,-3.361325253
31-01-2018,155.9509686,156.5798004,152.9595113,153.7410583,7004200,0,0,-1.726582737
01-02-2018,152.9595056,155.8970512,151.7197989,154.4237823,4751300,0,0,-1.017809742
02-02-2018,153.4356071,155.1693869,151.8096231,152.1599731,4604500,0,0,-4.036591963
05-02-2018,151.4682381,152.2318282,138.2177992,147.1921692,7309300,0,0,0.759651072
06-02-2018,142.2513033,149.1684776,142.1614643,148.3869171,7020000,0,0,0.175004761
07-02-2018,148.0995079,151.1538414,147.7940773,148.8630981,4974000,0,0,-3.06717037
08-02-2018,148.8451156,148.881043,142.6196475,142.8083038,5656000,0,0,3.404239064
09-02-2018,143.715614,145.5122839,139.4485233,144.4522552,7187100,0,0,2.211635193
12-02-2018,145.8626397,149.0247825,145.0810927,147.2370911,5255900,0,0,-1.602107965
13-02-2018,146.4285938,147.1742135,145.2787262,145.8895874,5406000,0,0,-3.06674909
14-02-2018,145.0271923,145.5482282,143.446114,143.7246094,5865600,0,0,0.649848594
15-02-2018,144.7576968,145.0990685,142.6645747,144.4342957,5012100,0,0,-1.689103462
16-02-2018,143.2574394,143.6437168,141.721281,141.74823,7165800,0,0,0.564328293
20-02-2018,141.0385904,142.9789972,140.3917881,141.1823273,5211100,0,0,-1.63862237
21-02-2018,141.7213169,144.9194009,141.5775938,142.5118561,7833400,0,0,-0.678581466
22-02-2018,142.7903034,144.9912207,142.7453839,144.3264618,4398200,0,0,-0.859278994
23-02-2018,145.0271848,146.7070666,145.0271848,146.4824829,4272400,0,0,-0.903257836
26-02-2018,147.3269298,148.000681,145.7997631,146.9496307,4525200,0,0,-1.536262821
27-02-2018,147.4975823,147.7760639,144.3084913,144.3264618,4907500,0,0,1.698041945
28-02-2018,145.0316202,145.736767,142.5817388,142.599823,6116800,1.01,0,-2.509002436
01-03-2018,142.6540433,145.0316013,140.31264,140.7556,5609000,0,0,-7.312063046
02-03-2018,134.6173436,136.0095255,132.7460195,134.0387726,11754300,0,0,3.601840787
05-03-2018,134.0477944,136.9406494,133.7223473,136.533844,6397800,0,0,-0.189811859
06-03-2018,136.7327342,137.1485886,135.7202383,136.6875305,5015400,0,0,-2.065527222
07-03-2018,135.4761582,138.0797348,135.3134277,137.7542877,4492000,0,0,-0.44593371
08-03-2018,138.0706697,139.770228,137.9983466,139.6165466,4291400,0,0,0.019618291
09-03-2018,140.6832781,142.5907566,139.9781451,142.1477966,5076500,0,0,1.343645547
12-03-2018,142.599823,144.1456863,142.3918889,142.599823,4461500,0,0,0.706137752
13-03-2018,143.3411153,144.5434611,143.0247172,143.0337524,4333100,0,0,-2.897269266
14-03-2018,143.7388829,144.1999272,142.147816,143.0518341,3879000,0,0,5.015052839
15-03-2018,143.4766664,146.5864759,143.3681748,146.0983124,5925700,0,0,2.634773392
16-03-2018,146.3424424,147.5628585,146.0712342,146.7763672,14293800,0,0,-1.569653508
19-03-2018,146.4509441,146.7763912,143.0247213,143.7479248,4307600,0,0,-0.407370842
20-03-2018,144.4168491,145.2485439,143.9648402,144.0823669,3105100,0,0,0.844386321
